,Method 1,Method 1 runtime
0,0.765625,1.5881361961364746
1,0.75390625,1.8699860572814941
2,0.787109375,1.6873502731323242
3,0.70703125,1.9231517314910889
4,0.76171875,1.7709078788757324
5,0.74609375,1.7412075996398926
6,0.72265625,1.7309293746948242
7,0.73046875,1.7406461238861084
8,0.705078125,1.715956211090088
9,0.751953125,1.9581530094146729
10,0.7265625,1.8762609958648682
11,0.740234375,1.7733283042907715
12,0.736328125,1.7643318176269531
13,0.720703125,1.706657886505127
14,0.71484375,1.7722125053405762
15,0.724609375,1.8054656982421875
16,0.703125,1.7677209377288818
17,0.7734375,1.7422599792480469
18,0.744140625,1.8108835220336914
19,0.755859375,1.629333257675171
