,Method 1,Method runtime
0,0.07319660039626372,1.9117555618286133
1,0.0455752417561642,1.6162352561950684
2,0.009667475524034831,1.874495506286621
3,0.08148300798829355,1.6763861179351807
4,0.03866990209613932,1.7141938209533691
5,0.026240290708094537,1.6777546405792236
6,0.0400509700281443,1.7152070999145508
7,0.04695630968816917,1.6519389152526855
8,0.03314563036811942,2.250809907913208
9,0.06905339660024878,1.7005524635314941
10,0.0510995134841841,1.947019338607788
11,-0.023478154844084588,1.769456386566162
12,0.08562621178430849,1.848766803741455
13,0.044194173824159216,1.7537360191345215
14,0.05386164934819405,1.6261780261993408
15,0.07595873626027366,1.630051612854004
16,0.15053640458854234,1.770890235900879
17,0.0966747552403483,1.8236587047576904
18,0.04143203796014927,1.662703037261963
19,0.027621358640099514,1.6836416721343994
