,Method 2,Method 2 runtime
0,0.07319660039626372,3.428283929824829
1,0.0455752417561642,3.4948911666870117
2,0.009667475524034831,3.404322624206543
3,0.08148300798829355,3.408933639526367
4,0.03866990209613932,3.692843437194824
5,0.026240290708094537,3.7197601795196533
6,0.0400509700281443,3.4976301193237305
7,0.04695630968816917,3.455976724624634
8,0.03314563036811942,3.515293598175049
9,0.06905339660024878,3.6783223152160645
10,0.0510995134841841,3.486009359359741
11,-0.023478154844084588,3.4739413261413574
12,0.08562621178430849,3.230321168899536
13,0.044194173824159216,3.446148157119751
14,0.05386164934819405,3.376081943511963
15,0.07595873626027366,3.5449657440185547
16,0.15053640458854234,3.51175594329834
17,0.0966747552403483,3.646784543991089
18,0.04143203796014927,3.623295307159424
19,0.027621358640099514,3.4537107944488525
